1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49
1,0.887302892524,0.96961722335,0.0,0.969446616311,0.0,0.969446616311,0.0,0.969446616311,0.969446616311,0.0,0.969446616311,0.0,0.969446616311,0.0,0.969446616311,0.0,0.969446616311
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.887302892524,0.96961722335,0.0,0.969446616311,0.0,0.969446616311,0.0,0.969446616311,0.969446616311,0.0,0.969446616311,0.0,0.969446616311,0.0,0.969446616311,0.0,0.969446616311
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.969675171897,0.983237912013,0.0,0.977033000626,0.0,0.977033000626,0.0,0.977033000626,0.977033000626,0.0,0.977033000626,0.0,0.977033000626,0.0,0.977033000626,0.0,0.977033000626
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983844887214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.979326728612,0.984367096561,0.0,0.98671815944,0.0,0.98671815944,0.0,0.98671815944,0.98671815944,0.0,0.98671815944,0.0,0.98671815944,0.0,0.98671815944,0.0,0.98671815944
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.981239674462,0.98628447688,0.0,0.98938754342,0.0,0.98938754342,0.0,0.98938754342,0.98938754342,0.0,0.98938754342,0.0,0.98938754342,0.0,0.98938754342,0.0,0.98938754342
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.987905831937,0.990931573626,0.0,0.990169609746,0.0,0.990169609746,0.0,0.990169609746,0.990169609746,0.0,0.990169609746,0.0,0.990169609746,0.0,0.990169609746,0.0,0.990169609746
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.991420306632,0.992511920989,0.0,0.992674305209,0.0,0.992674305209,0.0,0.992674305209,0.992674305209,0.0,0.992674305209,0.0,0.992674305209,0.0,0.992674305209,0.0,0.992674305209
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,0.993199586077,0.992992345573,0.0,0.993149688922,0.0,0.993149688922,0.0,0.993149688922,0.993149688922,0.0,0.993149688922,0.0,0.993149688922,0.0,0.993149688922,0.0,0.993149688922
241,0.0,0.993165706081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,0.0,0.993250295699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,0.995169104556,0.992961943967,0.0,0.993314689404,0.0,0.993314689404,0.0,0.993314689404,0.993314689404,0.0,0.993314689404,0.0,0.993314689404,0.0,0.993314689404,0.0,0.993314689404
574,0.0,0.993148605104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024
,0.994584133772,0.993148605104,0.0,0.993301886848,0.0,0.993301886848,0.0,0.993301886848,0.993301886848,0.0,0.993301886848,0.0,0.993301886848,0.0,0.993301886848,0.0,0.993301886848